,uid,guid,id,height,weight,age,position,jersey,salary,birthDate,headshot,FLName,experience,college,birthPlace,Team,hand
Justin Jackson,s:40~l:46~a:3138156,ea5f207a6b56696ed6ae13cd5d9a7072,3138156,"6' 7""",220 lbs,25,SF,44,"$5,029,650",03/28/95,https://a.espncdn.com/i/headshots/nba/players/full/3138156.png,Justin Jackson,3,North Carolina,"Houston, TX",Oklahoma City Thunder,
Ty Jerome,s:40~l:46~a:4065733,c310575489ce50553b1b61c45e7ce40a,4065733,"6' 5""",195 lbs,23,SG,16,"$2,303,040",07/08/97,https://a.espncdn.com/i/headshots/nba/players/full/4065733.png,Ty Jerome,1,Virginia,"New York, NY",Oklahoma City Thunder,
Theo Maledon,s:40~l:46~a:4683027,e4d3af47-5482-39f3-aa6c-2d6b03a45cb0,4683027,"6' 5""",180 lbs,19,PG,11,"$2,000,000",06/12/01,https://a.espncdn.com/i/headshots/nba/players/full/4683027.png,Theo Maledon,0,,France,Oklahoma City Thunder,
Darius Miller,s:40~l:46~a:6610,2634343127239c2d99a258664665a403,6610,"6' 8""",225 lbs,30,SF,12,"$7,000,000",03/21/90,https://a.espncdn.com/i/headshots/nba/players/full/6610.png,Darius Miller,5,Kentucky,"Maysville, KY",Oklahoma City Thunder,
Mike Muscala,s:40~l:46~a:2490089,a288cccb5f3ee54ea843741c1a17e3ad,2490089,"6' 11""",240 lbs,29,PF,33,"$2,283,034",07/01/91,https://a.espncdn.com/i/headshots/nba/players/full/2490089.png,Mike Muscala,7,Bucknell,,Oklahoma City Thunder,
Aleksej Pokusevski,s:40~l:46~a:4683018,b85693a5-ce81-33ac-a061-390175489fd4,4683018,"7' 0""",195 lbs,19,PF,17,"$2,964,840",12/26/01,https://a.espncdn.com/i/headshots/nba/players/full/4683018.png,Aleksej Pokusevski,0,,,Oklahoma City Thunder,
Isaiah Roby,s:40~l:46~a:4066392,5ca5512744c745602c21fd80b365d7ab,4066392,"6' 8""",230 lbs,22,SF,22,"$1,517,981",02/03/98,https://a.espncdn.com/i/headshots/nba/players/full/4066392.png,Isaiah Roby,1,Nebraska,"Dixon, IL",Oklahoma City Thunder,
Kenrich Williams,s:40~l:46~a:3133626,5dbafed64f212177c97368422587ed03,3133626,"6' 7""",210 lbs,26,SG,34,"$1,416,852",12/02/94,https://a.espncdn.com/i/headshots/nba/players/full/3133626.png,Kenrich Williams,2,TCU,"Waco, TX",Oklahoma City Thunder,
Carmelo Anthony,s:40~l:46~a:1975,db501da06d65c25837a12cbe8e0f5fba,1975,"6' 8""",238 lbs,36,PF,00,"$1,620,564",05/29/84,https://a.espncdn.com/i/headshots/nba/players/full/1975.png,Carmelo Anthony,17,Syracuse,"New York, NY",Portland Trail Blazers,
Keljin Blevins,s:40~l:46~a:3152335,a1807561865290e9af9dd330ea311579,3152335,"6' 6""",200 lbs,25,SF,21,0,11/24/95,https://a.espncdn.com/i/headshots/nba/players/full/3152335.png,Keljin Blevins,0,Montana State,"Hot Springs, AR",Portland Trail Blazers,
Zach Collins,s:40~l:46~a:4066650,c68386fb23ff62e4b2b03f8843a3f35c,4066650,"6' 11""",250 lbs,23,PF,33,"$5,406,255",11/19/97,https://a.espncdn.com/i/headshots/nba/players/full/4066650.png,Zach Collins,3,Gonzaga,"North Las Vegas, NV",Portland Trail Blazers,
Robert Covington,s:40~l:46~a:2490620,969cb082ed9d6eb2cc9ca8cdea54b5a9,2490620,"6' 7""",209 lbs,30,PF,23,"$12,138,345",12/14/90,https://a.espncdn.com/i/headshots/nba/players/full/2490620.png,Robert Covington,7,Tennessee State,"Bellwood, IL",Portland Trail Blazers,
CJ Elleby,s:40~l:46~a:4397166,ebe9f3d86d2d814b47bac629e772abb8,4397166,"6' 6""",200 lbs,20,SG,16,"$898,310",06/16/00,https://a.espncdn.com/i/headshots/nba/players/full/4397166.png,CJ Elleby,0,Washington State,"Federal Way, WA",Portland Trail Blazers,
Rodney Hood,s:40~l:46~a:2581177,119e04248dce82dbfd35c727c2fa9f41,2581177,"6' 8""",208 lbs,28,SG,5,"$10,047,450",10/20/92,https://a.espncdn.com/i/headshots/nba/players/full/2581177.png,Rodney Hood,6,Duke,"Meridian, MS",Portland Trail Blazers,
Enes Kanter,s:40~l:46~a:6447,1e039b407b3daa6eeac69432aa6413fd,6447,"6' 10""",250 lbs,28,C,11,"$5,005,350",05/20/92,https://a.espncdn.com/i/headshots/nba/players/full/6447.png,Enes Kanter,9,Kentucky,Switzerland,Portland Trail Blazers,
Damian Lillard,s:40~l:46~a:6606,c6bdd0b0217620899b411ca3540f64f4,6606,"6' 2""",195 lbs,30,PG,0,"$31,626,953",07/15/90,https://a.espncdn.com/i/headshots/nba/players/full/6606.png,Damian Lillard,8,Weber State,"Oakland, CA",Portland Trail Blazers,
Nassir Little,s:40~l:46~a:4395652,61b001c112dfd565f73068d21db8c7c2,4395652,"6' 5""",220 lbs,20,SF,9,"$2,210,640",02/11/00,https://a.espncdn.com/i/headshots/nba/players/full/4395652.png,Nassir Little,1,North Carolina,"Pensacola, FL",Portland Trail Blazers,
CJ McCollum,s:40~l:46~a:2490149,650bab3db658cba4a596044c1e1fa8c0,2490149,"6' 3""",190 lbs,29,SG,3,"$29,354,152",09/19/91,https://a.espncdn.com/i/headshots/nba/players/full/2490149.png,CJ McCollum,7,Lehigh,"Canton, OH",Portland Trail Blazers,B
Jusuf Nurkic,s:40~l:46~a:3102530,f8a22884a6a539a49d691cbb729288c9,3102530,"7' 0""",290 lbs,26,C,27,"$12,888,889",08/23/94,https://a.espncdn.com/i/headshots/nba/players/full/3102530.png,Jusuf Nurkic,6,,,Portland Trail Blazers,
Anfernee Simons,s:40~l:46~a:4351851,95170b60db18eac2dca06cbf4bc24884,4351851,"6' 3""",181 lbs,21,SG,1,"$2,252,040",06/08/99,https://a.espncdn.com/i/headshots/nba/players/full/4351851.png,Anfernee Simons,2,,"Longwood, FL",Portland Trail Blazers,L
Udoka Azubuike,s:40~l:46~a:4066299,93f70676ed3e3310245a2aeb3adaf44b,4066299,"7' 0""",270 lbs,21,C,20,"$1,977,000",09/17/99,https://a.espncdn.com/i/headshots/nba/players/full/4066299.png,Udoka Azubuike,0,Kansas,Nigeria,Utah Jazz,
Bojan Bogdanovic,s:40~l:46~a:3593,b5bd6896a98efac1165e32596f78e8ff,3593,"6' 8""",216 lbs,31,SF,44,"$17,850,000",04/18/89,https://a.espncdn.com/i/headshots/nba/players/full/3593.png,Bojan Bogdanovic,6,,Yugoslavia,Utah Jazz,
Jarrell Brantley,s:40~l:46~a:3912292,1f4cc7e328a050d4680bbcc103609733,3912292,"6' 7""",250 lbs,24,PF,5,0,06/07/96,https://a.espncdn.com/i/headshots/nba/players/full/3912292.png,Jarrell Brantley,1,Charleston,"Charleston, SC",Utah Jazz,
Jordan Clarkson,s:40~l:46~a:2528426,e50b7c1f0792372fd2b9ce80188f029f,2528426,"6' 5""",192 lbs,28,PG,00,"$11,500,000",06/07/92,https://a.espncdn.com/i/headshots/nba/players/full/2528426.png,Jordan Clarkson,6,Missouri,"Tampa, FL",Utah Jazz,
Mike Conley,s:40~l:46~a:3195,5814198adcfd7d7f351caa2a79e5e8ee,3195,"6' 1""",175 lbs,33,PG,10,"$34,502,130",10/11/87,https://a.espncdn.com/i/headshots/nba/players/full/3195.png,Mike Conley,13,Ohio State,"Indianapolis, IN",Utah Jazz,
Derrick Favors,s:40~l:46~a:4257,7f9cc19ccc3507a006d8ed2f8fbe6276,4257,"6' 10""",265 lbs,29,C,15,"$9,258,000",07/15/91,https://a.espncdn.com/i/headshots/nba/players/full/4257.png,Derrick Favors,10,Georgia Tech,"Atlanta, GA",Utah Jazz,
Trent Forrest,s:40~l:46~a:4065656,1f0ec1a3caa12a93a640258340e2d5f0,4065656,"6' 4""",210 lbs,22,SG,3,0,06/12/98,https://a.espncdn.com/i/headshots/nba/players/full/4065656.png,Trent Forrest,0,Florida State,"Dothan, AL",Utah Jazz,B
Rudy Gobert,s:40~l:46~a:3032976,78795dbf3e02934ef796d6a71375c9f5,3032976,"7' 1""",245 lbs,28,C,27,"$27,525,281",06/26/92,https://a.espncdn.com/i/headshots/nba/players/full/3032976.png,Rudy Gobert,7,,France,Utah Jazz,
Shaquille Harrison,s:40~l:46~a:2991274,586e47d577d48fcc96c79f32b62dffb0,2991274,"6' 4""",190 lbs,27,PG,8,"$1,620,564",10/06/93,https://a.espncdn.com/i/headshots/nba/players/full/2991274.png,Shaquille Harrison,3,Tulsa,"Kansas City, MO",Utah Jazz,
Elijah Hughes,s:40~l:46~a:4066446,6045ba0af8bb23f2751820000a551028,4066446,"6' 6""",215 lbs,22,SF,33,"$898,310",03/10/98,https://a.espncdn.com/i/headshots/nba/players/full/4066446.png,Elijah Hughes,0,Syracuse,"Poughkeepsie, NY",Utah Jazz,
Joe Ingles,s:40~l:46~a:2968436,110a16d50535c1e01e1efc9a7a080732,2968436,"6' 8""",226 lbs,33,SF,2,"$10,863,637",10/02/87,https://a.espncdn.com/i/headshots/nba/players/full/2968436.png,Joe Ingles,6,,Australia,Utah Jazz,R
Donovan Mitchell,s:40~l:46~a:3908809,6482ece5f90392e2ffdd13901fdd3a49,3908809,"6' 3""",215 lbs,24,SG,45,"$5,195,501",09/07/96,https://a.espncdn.com/i/headshots/nba/players/full/3908809.png,Donovan Mitchell,3,Louisville,"Elmsford, NY",Utah Jazz,
Juwan Morgan,s:40~l:46~a:3934721,4dccb49d9843cf9705800232db649963,3934721,"6' 8""",232 lbs,23,SF,16,"$1,517,981",04/17/97,https://a.espncdn.com/i/headshots/nba/players/full/3934721.png,Juwan Morgan,1,Indiana,"Waynesville, MO",Utah Jazz,
Georges Niang,s:40~l:46~a:2990969,fc22b9ec32bd07ebe8036c89ddfb8f11,2990969,"6' 8""",230 lbs,27,SF,31,"$1,783,557",06/17/93,https://a.espncdn.com/i/headshots/nba/players/full/2990969.png,Georges Niang,4,Iowa State,"Lawrence, MA",Utah Jazz,
Miye Oni,s:40~l:46~a:4066851,2647df804774a071b4cf31ff181cac76,4066851,"6' 5""",206 lbs,23,SG,81,"$1,517,981",08/04/97,https://a.espncdn.com/i/headshots/nba/players/full/4066851.png,Miye Oni,1,Yale,"Northridge, CA",Utah Jazz,
Kent Bazemore,s:40~l:46~a:6637,1b9fcc3b945fa8c17aa9a72b5dab4fa5,6637,"6' 5""",206 lbs,31,SF,26,"$1,620,564",07/01/89,https://a.espncdn.com/i/headshots/nba/players/full/6637.png,Kent Bazemore,8,Old Dominion,"Kelford, NC",Golden State Warriors,
Marquese Chriss,s:40~l:46~a:3907487,a320ecf1d6481b7518ddc1dc576c27b4,3907487,"6' 9""",249 lbs,23,SF,32,"$1,824,003",07/02/97,https://a.espncdn.com/i/headshots/nba/players/full/3907487.png,Marquese Chriss,4,Washington,"SACRAMENTO, CA",Golden State Warriors,
Stephen Curry,s:40~l:46~a:3975,5dda51f150c966e12026400b73f34fad,3975,"6' 3""",193 lbs,32,PG,30,"$43,006,362",03/14/88,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,Stephen Curry,11,Davidson,"Akron, OH",Golden State Warriors,
Draymond Green,s:40~l:46~a:6589,de360720e41625f28a6bb5ff82616cb1,6589,"6' 6""",235 lbs,30,PF,23,"$22,246,956",03/04/90,https://a.espncdn.com/i/headshots/nba/players/full/6589.png,Draymond Green,8,Michigan State,"Saginaw, MI",Golden State Warriors,
Damion Lee,s:40~l:46~a:2595209,41fafb6d47a66d8f79f94161918541a4,2595209,"6' 5""",203 lbs,28,SG,1,"$1,762,796",10/21/92,https://a.espncdn.com/i/headshots/nba/players/full/2595209.png,Damion Lee,3,Louisville,,Golden State Warriors,L
Kevon Looney,s:40~l:46~a:3155535,10a8e77b877324c69966f0c4618caad6,3155535,"6' 9""",250 lbs,24,PF,5,"$4,464,226",02/06/96,https://a.espncdn.com/i/headshots/nba/players/full/3155535.png,Kevon Looney,5,UCLA,"Milwaukee, WI",Golden State Warriors,
Nico Mannion,s:40~l:46~a:4431672,6a3328ef-e95f-39d1-bc48-6487973b12e5,4431672,"6' 2""",188 lbs,19,PG,2,0,03/14/01,https://a.espncdn.com/i/headshots/nba/players/full/4431672.png,Nico Mannion,0,Arizona,Italy,Golden State Warriors,R
Mychal Mulder,s:40~l:46~a:3936298,f5a46c489e9aee6a1a74f67f9494132f,3936298,"6' 4""",193 lbs,26,SG,15,"$1,517,981",06/12/94,https://a.espncdn.com/i/headshots/nba/players/full/3936298.png,Mychal Mulder,1,Kentucky,"Toronto, ON",Golden State Warriors,
Eric Paschall,s:40~l:46~a:3133817,b67e5e0fa5cb209355845d165a49407e,3133817,"6' 6""",264 lbs,24,PF,7,"$1,517,981",11/04/96,https://a.espncdn.com/i/headshots/nba/players/full/3133817.png,Eric Paschall,1,Villanova,"North Tarrytown, NY",Golden State Warriors,
Jordan Poole,s:40~l:46~a:4277956,4b0492b5a52f267fe84098ef6d2e2bdf,4277956,"6' 4""",195 lbs,21,SG,3,"$2,063,280",06/19/99,https://a.espncdn.com/i/headshots/nba/players/full/4277956.png,Jordan Poole,1,Michigan,"Milwaukee, WI",Golden State Warriors,B
Alen Smailagic,s:40~l:46~a:4401415,6ed3f8924bfef2e70329ebd6a104ecae,4401415,"6' 10""",241 lbs,20,PF,6,"$1,517,981",08/18/00,https://a.espncdn.com/i/headshots/nba/players/full/4401415.png,Alen Smailagic,1,,Yugoslavia,Golden State Warriors,
Klay Thompson,s:40~l:46~a:6475,3411530a7ab7e8dce4f165d59a559520,6475,"6' 6""",215 lbs,30,SG,11,"$35,361,360",02/08/90,https://a.espncdn.com/i/headshots/nba/players/full/6475.png,Klay Thompson,8,Washington State,"Los Angeles, CA",Golden State Warriors,
Brad Wanamaker,s:40~l:46~a:6507,5aad35bbbb760e3958107639266768ae,6507,"6' 3""",222 lbs,31,PG,10,"$2,250,000",07/25/89,https://a.espncdn.com/i/headshots/nba/players/full/6507.png,Brad Wanamaker,2,Pittsburgh,"Philadelphia, PA",Golden State Warriors,
Andrew Wiggins,s:40~l:46~a:3059319,064c19d065276a21ca99fdfb296fe05d,3059319,"6' 7""",205 lbs,25,SF,22,"$29,542,010",02/23/95,https://a.espncdn.com/i/headshots/nba/players/full/3059319.png,Andrew Wiggins,6,Kansas,"Thornhill, ON",Golden State Warriors,
James Wiseman,s:40~l:46~a:4432808,78395694-832b-3357-8773-a07cc3ce782f,4432808,"7' 0""",244 lbs,19,C,33,"$8,730,240",03/31/01,https://a.espncdn.com/i/headshots/nba/players/full/4432808.png,James Wiseman,0,Memphis,"Nashville, TN",Golden State Warriors,
Nicolas Batum,s:40~l:46~a:3416,e83378ef622aa88412bb86482f9a84d2,3416,"6' 9""",230 lbs,32,SF,5,"$1,620,564",12/14/88,https://a.espncdn.com/i/headshots/nba/players/full/3416.png,Nicolas Batum,12,,France,LA Clippers,
Patrick Beverley,s:40~l:46~a:3964,1ab8ad1b6dbffffcf2a7270e7e0a3df4,3964,"6' 1""",180 lbs,32,PG,21,"$13,333,333",07/12/88,https://a.espncdn.com/i/headshots/nba/players/full/3964.png,Patrick Beverley,8,Arkansas,"Chicago, IL",LA Clippers,
Amir Coffey,s:40~l:46~a:4066387,2f92cfa13e6f28633bfcaa45062ce909,4066387,"6' 7""",210 lbs,23,SG,7,0,06/17/97,https://a.espncdn.com/i/headshots/nba/players/full/4066387.png,Amir Coffey,1,Minnesota,"Hopkins, MN",LA Clippers,
Paul George,s:40~l:46~a:4251,d7e5e918d53f018e9d15f9005b2390ad,4251,"6' 8""",220 lbs,30,SG,13,"$35,450,412",05/02/90,https://a.espncdn.com/i/headshots/nba/players/full/4251.png,Paul George,10,Fresno State,"Palmdale, CA",LA Clippers,
Serge Ibaka,s:40~l:46~a:3439,2fe777baa2f3774ce617c8158c48e40c,3439,"7' 0""",235 lbs,31,PF,9,"$9,258,000",09/18/89,https://a.espncdn.com/i/headshots/nba/players/full/3439.png,Serge Ibaka,11,,,LA Clippers,
Reggie Jackson,s:40~l:46~a:6443,f4f210d8024f8e2533dfc7291b278905,6443,"6' 3""",208 lbs,30,PG,1,"$1,620,564",04/16/90,https://a.espncdn.com/i/headshots/nba/players/full/6443.png,Reggie Jackson,9,Boston College,Italy,LA Clippers,L
Mfiondu Kabengele,s:40~l:46~a:4065660,caad856f1a201238add098e9c5a44724,4065660,"6' 9""",250 lbs,23,PF,25,"$2,075,880",08/14/97,https://a.espncdn.com/i/headshots/nba/players/full/4065660.png,Mfiondu Kabengele,1,Florida State,"Burlington, ON",LA Clippers,
Luke Kennard,s:40~l:46~a:3913174,668a6a144003d79cc2520ece0a960d36,3913174,"6' 5""",206 lbs,24,SG,5,"$5,273,826",06/24/96,https://a.espncdn.com/i/headshots/nba/players/full/3913174.png,Luke Kennard,3,Duke,"Middletown, OH",LA Clippers,
Kawhi Leonard,s:40~l:46~a:6450,87ff907cc68ca82d121537e05d0c62ef,6450,"6' 7""",225 lbs,29,SF,2,"$34,379,100",06/29/91,https://a.espncdn.com/i/headshots/nba/players/full/6450.png,Kawhi Leonard,9,San Diego State,"Los Angeles, CA",LA Clippers,R
Terance Mann,s:40~l:46~a:3907823,14bc202c24586189f96432085299060a,3907823,"6' 5""",215 lbs,24,SG,14,"$1,517,981",10/18/96,https://a.espncdn.com/i/headshots/nba/players/full/3907823.png,Terance Mann,1,Florida State,"Brooklyn, NY",LA Clippers,
Daniel Oturu,s:40~l:46~a:4397215,299b52ea8f4d0c65d75f0ab4d8425173,4397215,"6' 10""",240 lbs,21,C,10,"$898,310",09/20/99,https://a.espncdn.com/i/headshots/nba/players/full/4397215.png,Daniel Oturu,0,Minnesota,"Brooklyn, NY",LA Clippers,
Patrick Patterson,s:40~l:46~a:4264,997ac975cd98e7886292c9f7b06d6ffc,4264,"6' 8""",235 lbs,31,PF,54,"$3,077,704",03/14/89,https://a.espncdn.com/i/headshots/nba/players/full/4264.png,Patrick Patterson,10,Kentucky,"Washington, DC",LA Clippers,
Jay Scrubb,s:40~l:46~a:4683023,b9db32e6-8d34-382d-a0e8-a2e7e76d7de3,4683023,"6' 6""",220 lbs,20,SG,4,0,09/01/00,https://a.espncdn.com/combiner/i?img=/i/headshots/nophoto.png&w=200&h=146,Jay Scrubb,0,,"Louisville, KY",LA Clippers,
Lou Williams,s:40~l:46~a:2799,12106a262d6e6f06de6f45243a6c2b88,2799,"6' 1""",175 lbs,34,SG,23,"$8,000,000",10/27/86,https://a.espncdn.com/i/headshots/nba/players/full/2799.png,Lou Williams,15,,"Lithonia, GA",LA Clippers,
Ivica Zubac,s:40~l:46~a:4017837,314d5203a97339efad47e6bcd46f77fd,4017837,"7' 0""",240 lbs,23,C,40,"$7,000,000",03/18/97,https://a.espncdn.com/i/headshots/nba/players/full/4017837.png,Ivica Zubac,4,,,LA Clippers,
Kostas Antetokounmpo,s:40~l:46~a:4066490,d2048eab0be106918b3dc1abfac22978,4066490,"6' 10""",200 lbs,23,PF,37,0,11/20/97,https://a.espncdn.com/i/headshots/nba/players/full/4066490.png,Kostas Antetokounmpo,2,Dayton,Greece,Los Angeles Lakers,
Devontae Cacok,s:40~l:46~a:3946974,ae24fc97c1310804219f512be79964d1,3946974,"6' 7""",240 lbs,24,PF,12,0,10/08/96,https://a.espncdn.com/i/headshots/nba/players/full/3946974.png,Devontae Cacok,1,North Carolina-Wilmington,"Chicago, IL",Los Angeles Lakers,
Alex Caruso,s:40~l:46~a:2991350,41bcf5f107fdeffe1f0c5b58221253f0,2991350,"6' 5""",186 lbs,26,SG,4,"$2,750,000",02/28/94,https://a.espncdn.com/i/headshots/nba/players/full/2991350.png,Alex Caruso,3,Texas A&M,"College Station, TX",Los Angeles Lakers,
Quinn Cook,s:40~l:46~a:2566745,6d692120d83f0c85e417de4733d738e2,2566745,"6' 1""",180 lbs,27,PG,2,"$1,620,564",03/23/93,https://a.espncdn.com/i/headshots/nba/players/full/2566745.png,Quinn Cook,4,Duke,"Washington, DC",Los Angeles Lakers,R
Anthony Davis,s:40~l:46~a:6583,dcf631634dbfc59d19203ecc2f8bd5fb,6583,"6' 10""",253 lbs,27,PF,3,"$32,742,000",03/11/93,https://a.espncdn.com/i/headshots/nba/players/full/6583.png,Anthony Davis,8,Kentucky,"Chicago, IL",Los Angeles Lakers,B
Jared Dudley,s:40~l:46~a:3201,b3b419ab29c21f89a2d31526beb6988e,3201,"6' 6""",237 lbs,35,SF,10,"$1,620,564",07/10/85,https://a.espncdn.com/i/headshots/nba/players/full/3201.png,Jared Dudley,13,Boston College,"San Diego, CA",Los Angeles Lakers,
Marc Gasol,s:40~l:46~a:3206,fff48cf2e014d79c191809b965813731,3206,"7' 1""",255 lbs,35,C,14,"$2,564,753",01/29/85,https://a.espncdn.com/i/headshots/nba/players/full/3206.png,Marc Gasol,12,,Spain,Los Angeles Lakers,
Montrezl Harrell,s:40~l:46~a:2991055,37502d0d04f2eb8fa0b4266731adf5df,2991055,"6' 7""",253 lbs,26,PF,15,"$9,258,000",01/26/94,https://a.espncdn.com/i/headshots/nba/players/full/2991055.png,Montrezl Harrell,5,Louisville,"Tarboro, NC",Los Angeles Lakers,
LeBron James,s:40~l:46~a:1966,1f6592b3ff53d3218dc56038d48c1786,1966,"6' 9""",250 lbs,36,SF,23,"$39,219,565",12/30/84,https://a.espncdn.com/i/headshots/nba/players/full/1966.png,LeBron James,17,,"Akron, OH",Los Angeles Lakers,
Kyle Kuzma,s:40~l:46~a:3134907,6fe27ee9be2b9dddd75f18675e177915,3134907,"6' 8""",220 lbs,25,PF,0,"$3,562,178",07/24/95,https://a.espncdn.com/i/headshots/nba/players/full/3134907.png,Kyle Kuzma,3,Utah,"Flint, MI",Los Angeles Lakers,
Wesley Matthews,s:40~l:46~a:4032,df1a0c3c2479209a1cdbe19ca2cee202,4032,"6' 4""",221 lbs,34,SG,9,"$3,623,000",10/14/86,https://a.espncdn.com/i/headshots/nba/players/full/4032.png,Wesley Matthews,11,Marquette,"SAN ANTONIO, TX",Los Angeles Lakers,
Alfonzo McKinnie,s:40~l:46~a:2530923,44e778aa8c7a0433437b1ac7a6e513a7,2530923,"6' 8""",215 lbs,28,SF,28,"$1,762,796",09/17/92,https://a.espncdn.com/i/headshots/nba/players/full/2530923.png,Alfonzo McKinnie,3,Green Bay,"Chicago, IL",Los Angeles Lakers,
Markieff Morris,s:40~l:46~a:6461,bb14f49433879cb5bd8f175ec15546a2,6461,"6' 10""",245 lbs,31,PF,88,"$1,620,564",09/02/89,https://a.espncdn.com/i/headshots/nba/players/full/6461.png,Markieff Morris,9,Kansas,"Philadelphia, PA",Los Angeles Lakers,
Dennis Schroder,s:40~l:46~a:3032979,ed50e972a95d6b5c3fcd0d75616d1159,3032979,"6' 1""",172 lbs,27,PG,17,"$16,000,000",09/15/93,https://a.espncdn.com/i/headshots/nba/players/full/3032979.png,Dennis Schroder,7,,Germany,Los Angeles Lakers,
Deandre Ayton,s:40~l:46~a:4278129,9af41ea8a24c025fa63f8263fbf0ca66,4278129,"6' 11""",250 lbs,22,C,22,"$9,562,920",07/23/98,https://a.espncdn.com/i/headshots/nba/players/full/4278129.png,Deandre Ayton,2,Arizona,Bahamas,Phoenix Suns,
Devin Booker,s:40~l:46~a:3136193,493046d7fa60d8a11397b9a6dca8dedf,3136193,"6' 5""",206 lbs,24,SG,1,"$29,467,800",10/30/96,https://a.espncdn.com/i/headshots/nba/players/full/3136193.png,Devin Booker,5,Kentucky,"Grand Rapids, MI",Phoenix Suns,L
Mikal Bridges,s:40~l:46~a:3147657,cb79ebc7b282824752967b803d2cbc9e,3147657,"6' 6""",209 lbs,24,SF,25,"$4,161,000",08/30/96,https://a.espncdn.com/i/headshots/nba/players/full/3147657.png,Mikal Bridges,2,Villanova,"Philadelphia, PA",Phoenix Suns,
Jevon Carter,s:40~l:46~a:3133635,9f154251b367bd8c394aad9175f30518,3133635,"6' 1""",200 lbs,25,PG,4,"$3,925,000",09/14/95,https://a.espncdn.com/i/headshots/nba/players/full/3133635.png,Jevon Carter,2,West Virginia,"Oak Park, IL",Phoenix Suns,
Jae Crowder,s:40~l:46~a:6581,9e192487c812d5d0ef90d932072ad833,6581,"6' 6""",235 lbs,30,SF,99,"$9,258,000",07/06/90,https://a.espncdn.com/i/headshots/nba/players/full/6581.png,Jae Crowder,8,Marquette,"Villa Rica, GA",Phoenix Suns,
Langston Galloway,s:40~l:46~a:2530572,b50de41e864be6fc3727133323b87fe0,2530572,"6' 1""",200 lbs,29,SG,2,"$1,620,564",12/09/91,https://a.espncdn.com/i/headshots/nba/players/full/2530572.png,Langston Galloway,6,Saint Joseph's,"Baton Rouge, LA",Phoenix Suns,R
Cameron Johnson,s:40~l:46~a:3138196,52d9a7a40beea926a5fdf2ecb96eaa95,3138196,"6' 8""",210 lbs,24,SF,23,"$4,033,440",03/03/96,https://a.espncdn.com/i/headshots/nba/players/full/3138196.png,Cameron Johnson,1,North Carolina,"Moon Township, PA",Phoenix Suns,
Damian Jones,s:40~l:46~a:3064559,56efcebd5649df81b4584d4a7ef2f59b,3064559,"6' 11""",245 lbs,25,C,30,"$1,737,145",06/30/95,https://a.espncdn.com/i/headshots/nba/players/full/3064559.png,Damian Jones,4,Vanderbilt,"Baton Rouge, LA",Phoenix Suns,
Frank Kaminsky,s:40~l:46~a:2579294,f9dd05361090a62cfa77ae7a119a8e88,2579294,"7' 0""",240 lbs,27,PF,8,"$1,620,564",04/04/93,https://a.espncdn.com/i/headshots/nba/players/full/2579294.png,Frank Kaminsky,5,Wisconsin,"Lisle, IL",Phoenix Suns,
Abdel Nader,s:40~l:46~a:2595435,0046bb98c4e9bd5b878ea3a3f336c411,2595435,"6' 5""",225 lbs,27,SF,11,"$1,752,950",09/25/93,https://a.espncdn.com/i/headshots/nba/players/full/2595435.png,Abdel Nader,3,Iowa State,,Phoenix Suns,
Chris Paul,s:40~l:46~a:2779,63c7648a60bac799d355f7f1d43f3a55,2779,"6' 1""",175 lbs,35,PG,3,"$41,358,814",05/06/85,https://a.espncdn.com/i/headshots/nba/players/full/2779.png,Chris Paul,15,Wake Forest,"Winston-salem, NC",Phoenix Suns,B
Cameron Payne,s:40~l:46~a:3064230,973fd4401804fd3ba70b7a5be2996764,3064230,"6' 3""",190 lbs,26,PG,15,"$1,977,011",08/08/94,https://a.espncdn.com/i/headshots/nba/players/full/3064230.png,Cameron Payne,5,Murray State,"Memphis, TN",Phoenix Suns,
Dario Saric,s:40~l:46~a:3032978,ec510d5f3cb7033bef466f3f331f0710,3032978,"6' 10""",225 lbs,26,PF,20,"$9,250,000",04/08/94,https://a.espncdn.com/i/headshots/nba/players/full/3032978.png,Dario Saric,4,,Croatia,Phoenix Suns,
Jalen Smith,s:40~l:46~a:4397189,458411c9ee620ad575bb07fbd4864609,4397189,"6' 10""",215 lbs,20,PF,10,"$4,245,720",03/16/00,https://a.espncdn.com/i/headshots/nba/players/full/4397189.png,Jalen Smith,0,Maryland,"Portsmouth, VA",Phoenix Suns,
Harrison Barnes,s:40~l:46~a:6578,2a44393ff19d019efc9a3153d1ff0197,6578,"6' 8""",225 lbs,28,SF,40,"$22,215,909",05/30/92,https://a.espncdn.com/i/headshots/nba/players/full/6578.png,Harrison Barnes,8,North Carolina,"Ames, IA",Sacramento Kings,
Nemanja Bjelica,s:40~l:46~a:4269,d2db86df2f09c977b5fe4941e20acd59,4269,"6' 10""",235 lbs,32,PF,8,"$7,150,000",05/09/88,https://a.espncdn.com/i/headshots/nba/players/full/4269.png,Nemanja Bjelica,5,,Yugoslavia,Sacramento Kings,
